"ticker","cik","fund_name","sic","sic_description","entity_name","verdict","reason"
"PHC_SLRHCBDC","0001832148","SLR HC BDC LLC","","","SLR HC BDC LLC","keep",""
"PHC_APOLLOOR","0002052152","Apollo Origination II","","","Apollo Origination II","keep",""
"PHC_FORTRESS","0002012139","Fortress Private Lending Fund","","","Fortress Private Lending Fund","keep",""
"PHC_AGLPRIVA","0002011498","AGL Private Credit Income Fund","","","AGL Private Credit Income Fund","keep",""
"PHC_PHILLIPS","0001948368","Phillip Street Middle Market Lending Fund LLC","","","Phillip Street Middle Market Lending Fund LLC","keep",""
"PHC_MIDDLEMA","0002006758","Middle Market Apollo Institutional Private Lending","","","Middle Market Apollo Institutional Private Lending","keep",""
"PHC_KAYNEDL2","0001850787","Kayne DL 2021, Inc.","","","Kayne DL 2021, Inc.","keep",""
"PHC_CNLSTRAT","0002066337","CNL Strategic Residential Credit, Inc.","6798","Real Estate Investment Trusts","CNL Strategic Residential Credit, Inc.","remove","SIC 6798: Real Estate Investment Trusts"
"PHC_BCPARTNE","0001726548","BC Partners Lending Corp","","","BC Partners Lending Corp","keep",""
"PHC_CNLSTRAT","0001684682","CNL Strategic Capital, LLC","6282","Investment Advice","CNL Strategic Capital, LLC","keep",""
"PHC_CARLYLES","0001851277","Carlyle Secured Lending III","","","Carlyle Secured Lending III","keep",""
"PHC_PARTNERS","0001938649","Partners Group Lending Fund, LLC","","","Partners Group Lending Fund, LLC","keep",""
"PHC_BLUEOWLT","0001889668","Blue Owl Technology Finance Corp. II","","","Blue Owl Technology Finance Corp. II","keep",""
"PHC_FSSPECIA","0001501729","FS Specialty Lending Fund","","","FS Specialty Lending Fund","keep",""
"PHC_CRESCENT","0001954360","Crescent Private Credit Income Corp","","","Crescent Private Credit Income Corp","keep",""
"PHC_NORTHHAV","0001851322","North Haven Private Income Fund LLC","","","North Haven Private Income Fund LLC","keep",""
"PHC_ANTARESP","0001976336","Antares Private Credit Fund","","","Antares Private Credit Fund","keep",""
"PHC_LOGANRID","0001571329","Logan Ridge Finance Corp.","","","Logan Ridge Finance Corp.","keep",""
"PHC_HANCOCKP","0001661306","Hancock Park Corporate Income, Inc.","","","Hancock Park Corporate Income, Inc.","keep",""
"PHC_FORTRESS","0002026738","FORTRESS CREDIT REALTY INCOME TRUST","6798","Real Estate Investment Trusts","FORTRESS CREDIT REALTY INCOME TRUST","remove","SIC 6798: Real Estate Investment Trusts"
"PHC_APOLLORE","0001882850","Apollo Realty Income Solutions, Inc.","6798","Real Estate Investment Trusts","Apollo Realty Income Solutions, Inc.","remove","SIC 6798: Real Estate Investment Trusts"
"PHC_BLUEOWLR","0001944366","Blue Owl Real Estate Net Lease Trust","6500","Real Estate","Blue Owl Real Estate Net Lease Trust","remove","SIC 6500: Real Estate"
"PHC_STRATCAP","0001868516","StratCap Digital Infrastructure REIT, Inc.","6798","Real Estate Investment Trusts","StratCap Digital Infrastructure REIT, Inc.","remove","SIC 6798: Real Estate Investment Trusts"
"PHC_FORTRESS","0001966394","Fortress Net Lease REIT","6798","Real Estate Investment Trusts","Fortress Net Lease REIT","remove","SIC 6798: Real Estate Investment Trusts"
"PHC_JPMORGAN","0001893262","J.P. Morgan Real Estate Income Trust, Inc.","6798","Real Estate Investment Trusts","J.P. Morgan Real Estate Income Trust, Inc.","remove","SIC 6798: Real Estate Investment Trusts"
"PHC_BLUEOWLD","0002069692","Blue Owl Digital Infrastructure Trust","6798","Real Estate Investment Trusts","Blue Owl Digital Infrastructure Trust","remove","SIC 6798: Real Estate Investment Trusts"
"PHC_NUVEENGL","0001711799","Nuveen Global Cities REIT, Inc.","6798","Real Estate Investment Trusts","Nuveen Global Cities REIT, Inc.","remove","SIC 6798: Real Estate Investment Trusts"
"PHC_KENNEDYL","0001911321","Kennedy Lewis Capital Co","","","Kennedy Lewis Capital Co","keep",""
"PHC_PRINCIPA","0002026448","Principal Credit Real Estate Income Trust","6798","Real Estate Investment Trusts","Principal Credit Real Estate Income Trust","remove","SIC 6798: Real Estate Investment Trusts"
"PHC_EQTEXETE","0001946997","EQT Exeter Real Estate Income Trust, Inc.","6798","Real Estate Investment Trusts","EQT Exeter Real Estate Income Trust, Inc.","remove","SIC 6798: Real Estate Investment Trusts"
"PHC_LGAMPRIV","0001983514","LGAM Private Credit LLC","","","LGAM Private Credit LLC","keep",""
"PHC_NORTHHAV","0001973476","North Haven Private Income Fund A LLC","","","North Haven Private Income Fund A LLC","keep",""
"PHC_LORDABBE","0002008748","Lord Abbett Private Credit Fund","","","Lord Abbett Private Credit Fund","keep",""
"PHC_SOUNDPOI","0002061174","Sound Point Direct Lending BDC","","","Sound Point Direct Lending BDC","keep",""
"PHC_ANTARESS","0002065397","Antares Strategic Credit Fund II LLC","","","Antares Strategic Credit Fund II LLC","keep",""
"PHC_NEWMOUNT","0002033695","New Mountain Net Lease Trust","6798","Real Estate Investment Trusts","New Mountain Net Lease Trust","remove","SIC 6798: Real Estate Investment Trusts"
"PHC_TCWDIREC","0001825265","TCW Direct Lending VIII LLC","","","TCW Direct Lending VIII LLC","keep",""
"PHC_PIMCOCAP","0001905824","PIMCO Capital Solutions BDC Corp.","","","PIMCO Capital Solutions BDC Corp.","remove","name pattern: PIMCO Capital Solutions BDC Corp."
"PHC_TPGPRIVA","0002050260","TPG Private Equity Opportunities, L.P.","6221","Commodity Contracts Brokers & ","TPG Private Equity Opportunities, L.P.","remove","name pattern: TPG Private Equity Opportunities, L.P."
"PHC_FRANKLIN","0002035428","Franklin BSP Real Estate Debt, Inc.","6798","Real Estate Investment Trusts","Franklin BSP Real Estate Debt, Inc.","remove","SIC 6798: Real Estate Investment Trusts"
