[12:30:25] === Smoke test: ARCC ===
[14:32:24] VCSL 2025-12-31: +2 cells from LLM
[14:32:46] VCSL 2025-09-30: +5 cells from LLM
[14:32:54] VCSL 2025-06-30: LLM no result
[14:56:35] VCSL 2025-03-31: LLM no result
[14:56:42] BAIN_PC 2025-12-31: LLM no result
[14:56:54] BAIN_PC 2025-09-30: LLM no result
[14:57:04] BAIN_PC 2025-06-30: LLM no result
[14:57:14] BAIN_PC 2025-03-31: LLM no result
[14:57:22] BAIN_PC 2024-12-31: LLM no result
[14:57:22] ASIF: no cik, skip
[14:57:29] FPCRE 2025-12-31: LLM no result
[14:57:35] FPCRE 2025-09-30: LLM no result
[14:57:41] FPCRE 2025-06-30: LLM no result
[14:57:46] FPCRE 2025-03-31: LLM no result
[14:57:54] ANT_PCF 2025-12-31: LLM no result
[14:58:00] ANT_PCF 2025-09-30: LLM no result
[14:58:06] ANT_PCF 2025-06-30: LLM no result
[14:58:11] ANT_PCF 2025-03-31: LLM no result
[14:58:16] ANT_PCF 2024-12-31: LLM no result
[14:58:26] APCRE 2025-12-31: LLM no result
[14:58:32] APCRE 2025-09-30: LLM no result
[14:58:37] APCRE 2025-06-30: LLM no result
[14:58:42] APCRE 2025-03-31: LLM no result
[14:58:47] APCRE 2024-12-31: LLM no result
[14:58:53] OADVA 2025-12-31: LLM no result
[14:58:58] OADVA 2025-09-30: LLM no result
[14:59:03] OADVA 2025-06-30: LLM no result
[14:59:08] OADVA 2025-03-31: LLM no result
[14:59:13] OADVA 2024-12-31: LLM no result
[14:59:18] KEUDL 2025-12-31: LLM no result
[14:59:23] KEUDL 2025-09-30: LLM no result
[14:59:28] KEUDL 2025-06-30: LLM no result
[14:59:33] KEUDL 2025-03-31: LLM no result
[14:59:38] KEUDL 2024-12-31: LLM no result
[14:59:43] KLCAP 2025-12-31: LLM no result
[14:59:48] KLCAP 2025-09-30: LLM no result
[14:59:53] KLCAP 2025-06-30: LLM no result
[14:59:57] KLCAP 2025-03-31: LLM no result
[15:00:02] KLCAP 2024-12-31: LLM no result
[15:00:05] committed+pushed: Phase 4 LLM enrichment: 40 funds processed, +158 cells
[15:00:11] AOII 2025-12-31: LLM no result
[15:00:17] AOII 2025-09-30: LLM no result
[15:00:22] AOII 2025-06-30: LLM no result
[15:00:27] AOII 2025-03-31: LLM no result
[15:00:35] SPSL 2025-12-31: LLM no result
[15:00:40] SPSL 2025-09-30: LLM no result
[15:00:45] SPSL 2025-06-30: LLM no result
[15:00:50] SPSL 2025-03-31: LLM no result
[15:00:56] CCPBI 2025-12-31: LLM no result
[15:01:01] CCPBI 2025-09-30: LLM no result
[15:01:06] CCPBI 2025-06-30: LLM no result
[15:01:11] CCPBI 2025-03-31: LLM no result
[15:01:16] CCPBI 2024-12-31: LLM no result
[15:01:22] PGLEN 2025-12-31: LLM no result
[15:01:28] APCI 2025-12-31: LLM no result
[15:01:34] APCI 2025-09-30: LLM no result
[15:01:39] APCI 2025-06-30: LLM no result
[15:01:43] APCI 2025-03-31: LLM no result
[15:01:50] APCIF 2025-12-31: LLM no result
[15:01:57] APCIF 2025-09-30: LLM no result
[15:02:02] APCIF 2025-06-30: LLM no result
[15:02:08] APCIF 2025-03-31: LLM no result
[15:02:20] PSMML 2025-12-31: LLM no result
[15:02:28] PSMML 2025-09-30: LLM no result
[15:02:33] PSMML 2025-06-30: LLM no result
[15:02:38] PSMML 2025-03-31: LLM no result
[15:02:43] PSMML 2024-12-31: LLM no result
[15:02:50] ACSL 2025-12-31: LLM no result
[15:02:56] ACSL 2025-09-30: LLM no result
[15:03:01] ACSL 2025-06-30: LLM no result
